parameter_name,parameter_number,preset_name,parameter_value,mean,std
-,0,TwoFlower,0.5,0.5,0.05
master_volume,1,TwoFlower,0.4520000219345093,0.4520000219345093,0.045200002193450925
filter_type,2,TwoFlower,0.27272728085517883,0.27272728085517883,0.027272728085517884
filter_cutoff,3,TwoFlower,0.40400001406669617,0.40400001406669617,0.04040000140666962
filter_resonance,4,TwoFlower,0.15600000321865082,0.15600000321865082,0.015600000321865082
fitler_keyfollow,5,TwoFlower,0.40400001406669617,0.40400001406669617,0.04040000140666962
filter_contour,6,TwoFlower,0.8920000195503235,0.8920000195503235,0.08920000195503235
filter_attack,7,TwoFlower,0.492000013589859,0.492000013589859,0.049200001358985904
filter_decay,8,TwoFlower,0.5680000185966492,0.5680000185966492,0.05680000185966492
filter_sustain,9,TwoFlower,0.036000002175569534,0.036000002175569534,0.0036000002175569533
filter_release,10,TwoFlower,0.5480000376701355,0.5480000376701355,0.05480000376701355
amp_attack,11,TwoFlower,0.5640000104904175,0.5640000104904175,0.05640000104904175
amp_decay,12,TwoFlower,0.46800002455711365,0.46800002455711365,0.046800002455711365
amp_sustain,13,TwoFlower,1.0,1.0,0.1
amp_release,14,TwoFlower,0.6360000371932983,0.6360000371932983,0.06360000371932983
osc_1_volume,15,TwoFlower,0.7520000338554382,0.7520000338554382,0.07520000338554382
osc_2_volume,16,TwoFlower,0.6880000233650208,0.6880000233650208,0.06880000233650208
osc_3_volume,17,TwoFlower,0.0,0.0,0.0
osc_mastertune,18,TwoFlower,0.5,0.5,0.05
osc_1_tune,19,TwoFlower,0.5100000500679016,0.5100000500679016,0.05100000500679016
osc_2_tune,20,TwoFlower,0.8960000276565552,0.8960000276565552,0.08960000276565552
osc_1_fine_tune,21,TwoFlower,0.5440000295639038,0.5440000295639038,0.05440000295639038
osc_2_fine_tune,22,TwoFlower,0.45600003004074097,0.45600003004074097,0.045600003004074095
osc_1_waveform,23,TwoFlower,0.5,0.5,0.05
osc_1_waveform,24,TwoFlower,0.5,0.5,0.05
osc_sync,25,TwoFlower,0.0,0.0,0.0
lfo_1_waveform,26,TwoFlower,0.0,0.0,0.0
lfo_2_waveform,27,TwoFlower,0.0,0.0,0.0
lfo_1_rate,28,TwoFlower,0.1120000034570694,0.1120000034570694,0.01120000034570694
lfo_2_rate,29,TwoFlower,0.08000000566244125,0.08000000566244125,0.008000000566244125
lfo_1_amount,30,TwoFlower,0.6240000128746033,0.6240000128746033,0.06240000128746033
lfo_2_amount,31,TwoFlower,0.5720000267028809,0.5720000267028809,0.05720000267028809
lfo_1_destination,32,TwoFlower,0.5714285969734192,0.5714285969734192,0.05714285969734192
lfo_2_destination,33,TwoFlower,0.4285714328289032,0.4285714328289032,0.04285714328289032
lfo_1_phase,34,TwoFlower,0.0,0.0,0.0
lfo_2_phase,35,TwoFlower,0.0,0.0,0.0
osc_2_fm,36,TwoFlower,0.0,0.0,0.0
osc_2_phase,37,TwoFlower,0.0,0.0,0.0
osc_2_pw,38,TwoFlower,0.5160000324249268,0.5160000324249268,0.05160000324249268
osc_2_phase,39,TwoFlower,0.5,0.5,0.05
transpose,40,TwoFlower,0.5,0.5,0.05
free_ad_attack,41,TwoFlower,0.0,0.0,0.0
free_ad_decay,42,TwoFlower,0.19200000166893005,0.19200000166893005,0.019200000166893005
free_ad_amount,43,TwoFlower,0.7160000205039978,0.7160000205039978,0.07160000205039978
free_ad_destination,44,TwoFlower,0.6000000238418579,0.6000000238418579,0.06000000238418579
lfo_1_sync,45,TwoFlower,0.0,0.0,0.0
lfo_1_keytrigger,46,TwoFlower,0.0,0.0,0.0
lfo_2_sync,47,TwoFlower,0.0,0.0,0.0
lfo_2_keytrigger,48,TwoFlower,1.0,1.0,0.1
portamento_amount,49,TwoFlower,0.0,0.0,0.0
portamento_mode,50,TwoFlower,0.0,0.0,0.0
voices,51,TwoFlower,1.0,1.0,0.1
velocity_volume,52,TwoFlower,0.0,0.0,0.0
velocity_contour,53,TwoFlower,0.0,0.0,0.0
velocity_filter,54,TwoFlower,0.0,0.0,0.0
pitchwheel_cutoff,55,TwoFlower,0.2200000137090683,0.2200000137090683,0.02200000137090683
pitchwheel_pitch,56,TwoFlower,0.0,0.0,0.0
ringmodulation,57,TwoFlower,0.0,0.0,0.0
chorus_1_enable,58,TwoFlower,0.0,0.0,0.0
chorus_2_enable,59,TwoFlower,0.0,0.0,0.0
reverb_wet,60,TwoFlower,0.29600000381469727,0.29600000381469727,0.029600000381469725
reverb_decay,61,TwoFlower,0.328000009059906,0.328000009059906,0.0328000009059906
reverb_pre_delay,62,TwoFlower,0.0,0.0,0.0
reverb_high_cut,63,TwoFlower,0.0,0.0,0.0
reverb_low_cut,64,TwoFlower,1.0,1.0,0.1
osc_bitcrusher,65,TwoFlower,1.0,1.0,0.1
master_high_pass,66,TwoFlower,0.1680000126361847,0.1680000126361847,0.01680000126361847
master_detune,67,TwoFlower,0.0,0.0,0.0
vintage_noise,68,TwoFlower,0.0,0.0,0.0
panic,69,TwoFlower,0.0,0.0,0.0
midi_learn,70,TwoFlower,0.0,0.0,0.0
envelope_destination,71,TwoFlower,0.0,0.0,0.0
envelope_speed,72,TwoFlower,0.0,0.0,0.0
envelope_amount,73,TwoFlower,0.0,0.0,0.0
envelope_one_shot_mode,74,TwoFlower,0.0,0.0,0.0
envelope_fix_tempo,75,TwoFlower,0.0,0.0,0.0
envelope_reset,76,TwoFlower,0.0,0.0,0.0
filter_drive,77,TwoFlower,0.0,0.0,0.0
delay_wet,78,TwoFlower,0.0,0.0,0.0
delay_time,79,TwoFlower,0.5,0.5,0.05
delay_sync,80,TwoFlower,0.0,0.0,0.0
delay_x2_l,81,TwoFlower,0.0,0.0,0.0
delay_x2_r,82,TwoFlower,0.0,0.0,0.0
delay_high_shelf,83,TwoFlower,0.0,0.0,0.0
delay_low_shelf,84,TwoFlower,0.0,0.0,0.0
delay_feedback,85,TwoFlower,0.5,0.5,0.05
midi_clear,86,TwoFlower,0.0,0.0,0.0
midi_lock,87,TwoFlower,0.0,0.0,0.0
-,0,Bellomatism,0.5,0.5,0.05
master_volume,1,Bellomatism,0.5160000324249268,0.5160000324249268,0.05160000324249268
filter_type,2,Bellomatism,0.3636363744735718,0.3636363744735718,0.036363637447357176
filter_cutoff,3,Bellomatism,0.2200000137090683,0.2200000137090683,0.02200000137090683
filter_resonance,4,Bellomatism,0.0,0.0,0.0
fitler_keyfollow,5,Bellomatism,0.0,0.0,0.0
filter_contour,6,Bellomatism,0.5,0.5,0.05
filter_attack,7,Bellomatism,0.0,0.0,0.0
filter_decay,8,Bellomatism,0.0,0.0,0.0
filter_sustain,9,Bellomatism,1.0,1.0,0.1
filter_release,10,Bellomatism,0.0,0.0,0.0
amp_attack,11,Bellomatism,0.5640000104904175,0.5640000104904175,0.05640000104904175
amp_decay,12,Bellomatism,0.5120000243186951,0.5120000243186951,0.05120000243186951
amp_sustain,13,Bellomatism,0.0,0.0,0.0
amp_release,14,Bellomatism,0.6160000562667847,0.6160000562667847,0.061600005626678465
osc_1_volume,15,Bellomatism,0.7440000176429749,0.7440000176429749,0.07440000176429748
osc_2_volume,16,Bellomatism,0.7920000553131104,0.7920000553131104,0.07920000553131104
osc_3_volume,17,Bellomatism,0.0,0.0,0.0
osc_mastertune,18,Bellomatism,0.5,0.5,0.05
